n,avg_time_ms,stddev_ms
4480,0,0
4490,0,0
4500,0,0
4510,0,0
4520,0,0
4530,0,0
4540,0,0
4550,0,0
4560,0,0
4570,0,0
4580,0,0
4590,0,0
4600,5.296,7.48968
4610,0,0
4620,0.667667,0.944223
4630,0,0
4640,0.667333,0.943752
4650,0,0
4660,0,0
4670,0,0
4680,0.580667,0.821187
4690,0,0
4700,0,0
4710,0.667667,0.944223
4720,0.580667,0.821187
4730,0,0
4740,0,0
4750,0.667667,0.944223
4760,0.581,0.821658
4770,0,0
4780,0,0
4790,0,0
4800,0,0
4810,0,0
4820,0,0
4830,0,0
4840,0,0
4850,0,0
4860,0,0
4870,0,0
4880,0,0
4890,0,0
4900,0,0
4910,0,0
4920,0,0
4930,5.211,7.36947
4940,0,0
4950,0.668667,0.945637
4960,0,0
4970,0.668667,0.945637
4980,0,0
4990,0.667333,0.943752
5000,0,0
5010,0.667667,0.944223
5020,0,0
